time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
1215.96	29.75	31.06	32.44	33.69	34.88	36.06	36.81	37.94	38.94	40.63	42.75	45.38	47.63	48.88
1216.81	29.75	31.06	32.44	33.69	34.88	36.06	36.81	37.94	38.94	40.63	42.75	45.38	47.63	48.94
1217.59	29.75	31.06	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.75	45.38	47.69	48.88
1218.45	29.75	31.06	32.44	33.69	34.88	36.06	36.81	37.94	38.94	40.63	42.75	45.38	47.63	48.88
1219.22	29.75	31.06	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.75	45.38	47.69	48.94
1220.03	29.75	31.06	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.75	45.38	47.69	48.94
1220.87	29.75	31.06	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.81	45.38	47.69	48.94
1221.66	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.75	45.38	47.69	48.88
1222.47	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.88
1223.32	29.75	31.12	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.75	45.38	47.69	48.94
1224.10	29.75	31.12	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.81	45.38	47.69	48.94
1224.91	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.88
1225.76	29.75	31.06	32.44	33.69	34.88	36.06	36.88	37.94	38.94	40.63	42.81	45.38	47.69	48.94
1226.54	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.94
1227.36	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.94
1228.19	29.75	31.06	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.88
1228.98	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.88
1229.80	29.75	31.12	32.44	33.69	34.88	36.06	36.88	38.00	38.94	40.63	42.81	45.38	47.69	48.88
